,article_num,title,topic_abs,topic_url,viewnum,jsonurls
0,45.0,为了避暑你都用过那些方法？,炎炎夏日，为了不变成烧烤，你都做过那些避暑的事？,https://www.douban.com/gallery/topic/89855/,84048.0,https://m.douban.com/rexxar/api/v2/gallery/topic/89855
1,232.0,你花了最多心思的家的一角,,https://www.douban.com/gallery/topic/86240/,993842.0,https://m.douban.com/rexxar/api/v2/gallery/topic/86240
2,134.0,当你驻足凝望夕阳时你在想什么,,https://www.douban.com/gallery/topic/87931/,109707.0,https://m.douban.com/rexxar/api/v2/gallery/topic/87931
3,112.0,你如何规划父母的养老,"北漂四年，一天，独居的父亲打电话告诉我，他这段时间血压很高很不舒服，我吓唬他说一定要去医院看看，平常要多注意量血压，不然死在家里了别人都不知道，通常这样的玩笑话父亲都会接得很好，这一次，父亲却说，我做好了这个准备。
,突然很困惑，大家对于父母的养老是怎么想的？",https://www.douban.com/gallery/topic/86763/,1009125.0,https://m.douban.com/rexxar/api/v2/gallery/topic/86763
4,9048.0,像我这样节俭地生活,你为什么要节俭地生活？这样的生活方式给你带来了怎样的改变？不妨分享一下你的节俭生活心得和理念。,https://www.douban.com/gallery/topic/29603/,26481511.0,https://m.douban.com/rexxar/api/v2/gallery/topic/29603
5,41.0,女程序员的日常,女程序员比男程序员的能见度太低，在国内的圈子里，叙事和话语对女程序员都非常不友好，希望能认识更多女程序员，创造属于女程序员的话语。,https://www.douban.com/gallery/topic/89134/,801239.0,https://m.douban.com/rexxar/api/v2/gallery/topic/89134
6,165.0,作为年轻人，当代社会有哪些时刻令你感到窒息？,,https://www.douban.com/gallery/topic/90071/,772044.0,https://m.douban.com/rexxar/api/v2/gallery/topic/90071
7,102.0,工作日的午间散步,工作日午间饭后，忙里偷闲出去散步。,https://www.douban.com/gallery/topic/88641/,358434.0,https://m.douban.com/rexxar/api/v2/gallery/topic/88641
8,911.0,小镇待业青年的日常,刚毕业不久的小镇应届往届待业青年们，你们在做什么呢？,https://www.douban.com/gallery/topic/86235/,3675899.0,https://m.douban.com/rexxar/api/v2/gallery/topic/86235
9,659.0,你的消费观念因为什么事件改变了,,https://www.douban.com/gallery/topic/77387/,4173017.0,https://m.douban.com/rexxar/api/v2/gallery/topic/77387
10,206.0,我的能量回归法,你通常是用什么方法回归自己的能量，让自己振作起来？运动、瑜伽、冥想、阅读、吃吃喝喝、旅行（有的人旅行回来之后似乎更累）,https://www.douban.com/gallery/topic/87557/,461664.0,https://m.douban.com/rexxar/api/v2/gallery/topic/87557
11,120.0,爸妈的收藏爱好,你的爸爸妈妈都喜欢收集什么？,https://www.douban.com/gallery/topic/88653/,663031.0,https://m.douban.com/rexxar/api/v2/gallery/topic/88653
12,185.0,自己理发,自己动手，不求人，挺好。,https://www.douban.com/gallery/topic/87927/,2265815.0,https://m.douban.com/rexxar/api/v2/gallery/topic/87927
13,318.0,南方的夏日时光,达达乐队在《南方》唱到，“那里总是很潮湿，那里总是很松软，那里总是很多琐碎事，那里总是红和蓝……”，你眼中的南方夏天是什么样呢？是连绵的雨季，葱茏的绿意，还是清爽的海风？欢迎聊聊。,https://www.douban.com/gallery/topic/88532/,1208697.0,https://m.douban.com/rexxar/api/v2/gallery/topic/88532
14,1097.0,热爱生活的一万个理由,请分享你热爱生活的理由，在这个小确丧的世界里留下可爱瞬间。,https://www.douban.com/gallery/topic/87859/,899010.0,https://m.douban.com/rexxar/api/v2/gallery/topic/87859
15,61.0,研究生的日常,读研的日子是清冷孤独的，我在等待毕业中，你呢？,https://www.douban.com/gallery/topic/87942/,188319.0,https://m.douban.com/rexxar/api/v2/gallery/topic/87942
16,4262.0,独居生活指南,一个人也要好好过。,https://www.douban.com/gallery/topic/17466/,16573732.0,https://m.douban.com/rexxar/api/v2/gallery/topic/17466
17,37.0,你圈子里的酒文化,酒是连接情感、连接关系的纽带，有它则好，无它也安。在你的圈子里，有没有大家都喜欢喝的酒，又有着什么样的酒文化。,https://www.douban.com/gallery/topic/89136/,84687.0,https://m.douban.com/rexxar/api/v2/gallery/topic/89136
18,25.0,我在十八线小城的生活日常,欢喜亦忧愁,https://www.douban.com/gallery/topic/89743/,50638.0,https://m.douban.com/rexxar/api/v2/gallery/topic/89743
19,45.0,你想要过的理想的一天,给你一天，不用上班，不用上课，有极速的交通工具可以去到世界任何一个角落，不用考虑金钱，不用担心安全。你理想的完美的一天要怎样度过？,https://www.douban.com/gallery/topic/88494/,12969.0,https://m.douban.com/rexxar/api/v2/gallery/topic/88494
20,1902.0,你在不同社交平台下的人设,,https://www.douban.com/gallery/topic/67802/,11098121.0,https://m.douban.com/rexxar/api/v2/gallery/topic/67802
21,810.0,用vlog记录你的一天,看似一成不变的日常，推着我们奔向未来岁月。用视频，留下这珍贵点滴。,https://www.douban.com/gallery/topic/83815/,112570.0,https://m.douban.com/rexxar/api/v2/gallery/topic/83815
22,761.0,哪些消费行为让你觉得自己受到了明明白白的欺骗,社会上的行业领域千万种，竞争力越来越大，许多经营者推陈出新的同时不忘钻空子，夸大宣传、造假等情况屡见不鲜，你究竟遇到过怎样的消费大坑，事后又是如何处理这些问题的呢？,https://www.douban.com/gallery/topic/59497/,13323882.0,https://m.douban.com/rexxar/api/v2/gallery/topic/59497
